"","order_id","created_at","assigned_at","picked_at","delivered_at","status","customer_id","city","lat","lon","distance_km","service_level","payment_method","items_count","order_value","delivery_fee","courier_id","note"
"1",1,"21.04.2024 11:50","2024-04-21 12:20:20","21.04.2024 13:11",NA,"picked",2106,"Kyiv",50.328551,30.473075,12.91,"Standart","Card",1,"160","65.82",199,NA
"2",2,"2024-04-08 07:45:52","2024-04-08 08:40:52",NA,NA,"assigned",3727,"Odesa",46.400726,30.646155,4.53,"Express","Card",3,"4115","73.59",82,NA
"3",3,"2024-04-14 12:04:48",NA,NA,NA,"canceled",3854,"Lviv",49.826689,24.084623,20.63,"Standart","Card",5,"5575","81.26",57,NA
"4",4,"07.04.2024 21:11","2024-04-07 22:09:35",NA,NA,"assigned",396,"Kyiv",50.477308,30.354213,0.7,"Standart","Card",4,"874","41.4",154,NA
"5",5,"2024-04-26 21:43:31","2024-04-26 22:25:31","26.04.2024 23:02","2024-04-26 23:26:31","delivered",2217,"Kyiv",50.496139,30.454743,7.99,"Standart","COD",1,"3054","55.98",11,NA
"6",6,"2024-04-10 08:03:50","2024-04-10 08:38:50",NA,NA,"canceled",672,"Lviv",49.847106,24.043791,20.3,"Standart","COD",5,"2488","80.6",29,NA
"7",7,"2024-04-03 05:31:22",NA,NA,NA,"assigned",3099,"Lviv",49.819217,23.966912,8.98,"Express","cod  ",2,"1 077","86.94",4,NA
"8",8,"2024-04-25 23:16:16","2024-04-25 23:37:16",NA,NA,"assigned",1681,"Kyiv",50.538717,30.413883,15.87,"Express","Card",6,"2043","107.61",138,NA
"9",9,"2024-04-27 05:37:32","2024-04-27 06:06:32","2024-04-27 06:16:32",NA,"picked",2207,"Lviv",23.958191,49.882253,25.74,"Express","Card",1,"3012","137.22",151,"fragile"
"10",105,"2024-04-25 04:20:47","2024-04-25 04:48:47","2024-04-25 05:11:47",NA,"picked",2051,"ODESA",46.336334,30.758243,4.8,"Standart","COD",3,"2913","49,60",83,NA
"11",11,"10.04.2024 14:12","2024-04-10 15:02:58",NA,NA,"canceled",1100,"Lviv",49.76879,23.956831,11.89,"Standart","COD",1,"2058","63.78",34,NA
"12",12,"18.04.2024 17:36","2024-04-18 18:00:09",NA,NA,"assigned",1230,"Odesa",46.542057,30.644423,12,"Express","COD",2,"4307","96",179,"liquid"
"13",13,"2024-04-05 17:11:53","2024-04-05 18:03:53",NA,NA,"canceled",1139,"Kyiv",50.438844,30.434907,23.29,"Standart","COD",1,"1811","86.58",17,"liquid"
